pair ID,brain ID,count.ROI_15570,count.ROI_15576,count.ROI_15623,count.ROI_15666,count.ROI_15736,count.ROI_15740,count.ROI_15750,count.ROI_15818,count.ROI_16001,count.ROI_16114,count.ROI_16212,count.ROI_16247,count.ROI_16306,count.ROI_16311,count.ROI_16313,count.ROI_16353,count.ROI_16368,count.ROI_16377,count.ROI_16382,count.ROI_16487,count.ROI_16502,count.ROI_16511,count.ROI_16519,count.ROI_16624,count.ROI_16641,count.ROI_16652,count.ROI_16658,count.ROI_16726,count.ROI_16742,count.ROI_16753,count.ROI_16754,count.ROI_16791,count.ROI_16805,count.ROI_16811,count.ROI_16813,count.ROI_16876,count.ROI_16911,count.ROI_16916,count.ROI_16919,count.ROI_16967,count.ROI_17022,count.ROI_17024,count.ROI_17025,count.ROI_17053,count.ROI_17091,count.ROI_17094,count.ROI_17095,count.ROI_17123,count.ROI_17155,count.ROI_17157,count.ROI_17158,count.ROI_17182,count.ROI_17219,count.ROI_17222,count.ROI_17223,count.ROI_17250,count.ROI_17289,count.ROI_17291,count.ROI_17292,count.ROI_17318,count.ROI_17354,count.ROI_17355,count.ROI_17380,count.ROI_17418,count.ROI_17437,count.ROI_17500
pair15,L73D766P9,4725,299131,250329,323760,61,5112,6673342,3090944,10902530,2566394,317621,335374,345,60,375798,117479,453,7310,805452,118676,431,13659,499561,147092,349,52,2094781,103916,238,1697,203652,65001,21,12314,166447,129073,972,1380,1088228,206234,3267,410,153352,106169,1323,12,150522,102109,243,221,65913,84768,-,19,117828,158676,-,8,118342,107141,-,15569,59989,2275,12730,-
pair15,L73D766P4,3579,324095,295206,373460,94,3008,6502445,2837869,10706154,2114265,294177,325844,373,213,287777,70844,200,5648,744753,126224,91,10291,366616,168808,153,44,2151014,109486,102,869,205020,67653,26,28253,169476,126120,1191,1228,1875032,193243,2745,2164,156285,84704,947,125,159909,100182,257,2522,86957,106636,638,180,113596,156506,1070,190,124465,112480,1,44849,79935,13427,30958,3
